,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1252,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA
ASV_1253,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,NA,NA,NA
ASV_1254,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_1255,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,NA
ASV_1256,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1257,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_1258,Bacteria,Proteobacteria,Alphaproteobacteria,AT-s3-44,NA,NA,NA
ASV_1259,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,NA
ASV_1260,Bacteria,Acidobacteriota,Subgroup_21,NA,NA,NA,NA
ASV_1261,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_1262,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1263,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA,NA
ASV_1264,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NA,NA
ASV_1265,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1266,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,NA
ASV_1267,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_1268,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_9,NA,NA,NA
ASV_1269,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,NA,NA
ASV_1270,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,NA
ASV_1271,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA,NA
ASV_1272,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
ASV_1273,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA,NA
ASV_1274,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,NA
ASV_1275,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA,NA
ASV_1276,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_1277,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,NA,NA,NA
ASV_1278,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata_or,Thermoplasmata_fa,Marine_Group_III,NA
ASV_1279,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA
ASV_1280,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1281,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
ASV_1282,Bacteria,Acidobacteriota,Subgroup_5,NA,NA,NA,NA
ASV_1283,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV_1284,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,NA
ASV_1285,Bacteria,Chloroflexi,Dehalococcoidia,S085,NA,NA,NA
ASV_1286,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_1287,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_9,NA,NA,NA
ASV_1288,Bacteria,Proteobacteria,Gammaproteobacteria,SZB50,NA,NA,NA
ASV_1289,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,NA
ASV_1290,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA,NA
ASV_1291,Bacteria,Chloroflexi,Dehalococcoidia,S085,NA,NA,NA
ASV_1292,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Limibaculum,NA
ASV_1293,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA
ASV_1294,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1295,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1296,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
ASV_1297,Bacteria,Schekmanbacteria,NA,NA,NA,NA,NA
ASV_1299,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,NA,NA,NA
ASV_1300,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_1301,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,NA,NA
ASV_1302,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,NA
ASV_1303,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,NA
ASV_1304,Bacteria,PAUC34f,NA,NA,NA,NA,NA
ASV_1305,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA
ASV_1306,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
ASV_1307,Bacteria,PAUC34f,NA,NA,NA,NA,NA
ASV_1308,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_1309,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,NA
ASV_1310,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,NA
ASV_1312,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA
ASV_1313,Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,NA,NA,NA,NA
ASV_1314,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_1315,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,NA,NA,NA
ASV_1316,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV_1317,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
ASV_1318,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_1319,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,NA
ASV_1320,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,NA,NA
ASV_1321,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter,NA
ASV_1322,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,AqS1,NA
ASV_1323,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
ASV_1324,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1325,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,NA,NA
ASV_1326,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_9,NA,NA,NA
ASV_1327,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
ASV_1328,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV_1329,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA,NA
ASV_1330,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,NA
ASV_1331,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_1332,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1333,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA
ASV_1334,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,NA
ASV_1335,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA
ASV_1336,Bacteria,Proteobacteria,Gammaproteobacteria,JTB23,NA,NA,NA
ASV_1337,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,NA
ASV_1338,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_1339,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV_1340,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,NA,NA,NA
ASV_1341,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,NA
ASV_1342,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1343,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
