,DC.C01.4861,DC.C01.4811,DC.C01.3000,DC.C01.1000,DC.C01.900,DC.C01N.120,DC.C01.80,DC.C01.5,DC.C14.4183,DC.C14.4138,DC.C14.2000,DC.C14N.1000,DC.C14.150,DC.C14.120,DC.C14.70,DC.C14.5,DC2.R04C06.05to1,DC2.R04C06.0to05,DC2.R04C06.10to15r,DC2.R04C06.1to5,DC2.R04C06.5to10,DC2.R14C27.05to1,DC2.R14C27.0to05,DC2.R14C27.10to15,DC2.R14C27.1to5,DC2.R14C27.5to10
sp974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0.00028289,0.00028329,0.00042559,0.00042487,0.00084938,0.00084938,0.00014134
sp975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0,0,0,0
sp976,0,0,0,0.01195667,0.00955593,0,0,0,0,0,0,0,0,0.0005629,0,0,0,0,0,0,0,0,0,0,0,0
sp977,0,0,0,0,0,0.00745115,0.00182738,0.00070235,0,0,0,0,0.00098356,0.00239234,0.00098384,0,0,0,0,0,0,0,0,0,0,0
sp978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098898,0,0.00070822,0.00099305,0.00084974,0.00099094,0.00099094,0.00155477
sp979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00085288,0,0,0.00028329,0.00014186,0.00014162,0,0,0
sp980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0.00028257,0,0,0,0,0,0,0
sp981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00014215,0,0.00028289,0.00028329,0,0.00056649,0,0.00028313,0.00042403
sp982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00014215,0,0,0,0,0.00042487,0,0,0
sp983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014156,0
sp984,0,0,0,0,0,0,0.00140568,0.00758534,0,0,0,0,0,0,0.00295151,0.00533708,0,0,0,0,0,0,0,0,0,0
sp985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070761,0.00056859,0.00014128,0.0009901,0,0.00014186,0.00028325,0.00014156,0,0.00042403
sp987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155675,0.00028429,0,0,0.00028329,0.00028373,0.00056649,0,0,0
sp988,0.00070353,0,0,0.00407934,0.00379427,0,0,0,0,0,0.0012644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0.00113026,0.00028289,0.00042493,0.00042559,0.00042487,0.00226501,0.00084938,0.00127208
sp991,0,0,0,0.003798,0.00267004,0,0,0,0,0,0.00140489,0.00477528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp993,0,0,0,0,0,0,0,0,0,0,0.00014049,0,0.00829001,0.00942865,0,0,0,0,0,0,0,0,0,0,0,0
sp994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099502,0,0.0019802,0,0.00070932,0.00113298,0,0.0011325,0.00212014
sp995,0,0,0,0,0,0.00098411,0,0,0,0,0,0,0.01910918,0.00478469,0,0,0,0,0,0,0,0,0,0,0,0
sp996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0.00028289,0.00014164,0.00014186,0.00014162,0,0.00042469,0
sp997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056513,0,0.00042493,0.00014186,0.00014162,0.00453001,0.00099094,0.00141343
sp998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141864,0.00240759,0.00339751,0.00184032,0.00254417
sp999,0,0,0,0,0,0,0.00182738,0.00154516,0,0,0,0,0,0,0.00196767,0.00308989,0,0,0,0,0,0,0,0,0,0
sp1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00028429,0,0,0,0.00070932,0.00028325,0,0.00028313,0.00014134
sp1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0,0.0009915,0.00113491,0.00127461,0.00141563,0.00311438,0.00183746
sp1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00199005,0,0.00056577,0,0,0,0,0,0
sp1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00014215,0.00169539,0.00084866,0.00042493,0.00028373,0,0.00198188,0.00084938,0.0009894
sp1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0.00071073,0,0.00084866,0.00042493,0,0.00042487,0,0.00014156,0
sp1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0,0,0,0.00014134
sp1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1008,0,0,0,0,0,0,0,0,0,0,0.00014049,0,0,0,0,0,0.00056609,0.00014215,0.00028257,0.00113154,0.00014164,0.00028373,0.00141623,0.00042469,0.00028313,0.00028269
sp1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00028429,0,0.00070721,0.00070822,0.00014186,0.00014162,0.00028313,0.00042469,0.00028269
sp1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00028429,0,0.00056577,0,0,0.00042487,0,0,0
sp1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00028429,0,0.00028289,0,0,0,0,0,0
sp1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056859,0,0,0,0,0,0,0,0
sp1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00056859,0.00014128,0.00084866,0.00056657,0.00028373,0,0,0,0.00028269
sp1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00014215,0.00014128,0.00042433,0.00084986,0.00070932,0.00127461,0,0.00028313,0.00028269
sp1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00014215,0,0,0,0,0.00014162,0,0,0
sp1016,0.00042212,0.00042176,0.00196823,0.00211,0.00126476,0,0,0,0.00070304,0,0.00168587,0.00070225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0,0,0,0,0,0,0
sp1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0.00028373,0.00056649,0.00014156,0,0
sp1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00071073,0,0.0019802,0.00127479,0.00056746,0.00127461,0,0.00056625,0.00042403
sp1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp1022,0,0,0,0.00323534,0.00365374,0,0,0,0,0,0.00224782,0.00238764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00014215,0.00070641,0.00056577,0.00028329,0,0,0,0,0
sp1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070761,0.00042644,0.00141283,0.00070721,0.00084986,0,0.0018411,0.00028313,0,0.00028269
sp1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp1028,0,0,0,0,0,0.0033741,0.0035142,0.00252845,0,0,0,0,0,0,0.00168658,0.0008427,0,0,0,0,0,0,0,0,0,0
sp1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071073,0,0,0.00014164,0,0,0,0,0
sp1030,0,0,0,0.00323534,0.00505902,0,0,0,0,0,0,0.00252809,0.00309119,0.00140726,0,0,0,0,0,0,0,0,0,0,0,0
sp1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071073,0,0,0,0,0,0,0,0
sp1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084914,0.00056859,0.00014128,0.00056577,0,0.00028373,0.00014162,0,0,0.00028269
sp1033,0,0,0,0,0,0,0,0,0,0,0,0,0.00674441,0.00506614,0,0,0,0,0,0,0,0,0,0,0,0
sp1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028325,0,0,0.00028269
sp1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0.00156361,0,0.00042433,0.00028329,0,0.00014162,0,0,0
sp1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00014215,0,0.00028289,0.00028329,0.00099305,0.00028325,0,0.00042469,0.00014134
sp1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070761,0.00099502,0,0.00113154,0,0.00042559,0.00014162,0,0,0
sp1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042644,0.00141283,0.00056577,0.00014164,0.00056746,0.00099136,0.00084938,0.00070781,0.00113074
sp1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028257,0,0,0.00099305,0.00113298,0.00028313,0.00042469,0.00070671
sp1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018398,0,0.00028257,0,0.00113314,0,0.00084974,0,0,0
sp1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00014215,0,0.0009901,0.00042493,0.00014186,0.00042487,0,0,0
sp1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0,0,0,0.00099305,0.00056649,0.00014156,0.00028313,0.00014134
sp1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0,0,0,0,0,0,0
sp1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042559,0,0,0,0.00028269
sp1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00014215,0,0.0009901,0,0.00014186,0.00070811,0,0,0.00028269
sp1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0.00028429,0,0,0,0,0.00056649,0,0,0.00014134
sp1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0,0,0.00014186,0.00042487,0.00481314,0.00056625,0.00113074
sp1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056513,0,0.00014164,0,0,0,0,0
sp1050,0,0,0,0,0,0,0.00140568,0.01432786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00042644,0,0.00028289,0.00014164,0,0,0,0.00014156,0
sp1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00042644,0,0.00056577,0.00056657,0.00042559,0.00056649,0,0,0.00056537
sp1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0.0008477,0,0.00056657,0.00028373,0.00014162,0.00042469,0.00042469,0.00127208
sp1054,0.00309554,0.00126529,0.00210881,0,0,0,0,0,0.0019685,0.00253165,0,0.0005618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0,0,0,0,0,0,0,0
sp1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1057,0,0.00042176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00014215,0.00028257,0.00028289,0.00056657,0.00028373,0.00042487,0.00014156,0.00028313,0.00014134
sp1058,0,0,0,0,0,0,0,0.00252845,0,0,0,0,0,0,0.00154603,0,0,0,0,0,0,0,0,0,0,0
sp1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056513,0.00014144,0.00056657,0.00028373,0.00113298,0.0011325,0.00212344,0.00127208
sp1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0.00028329,0,0.00014162,0,0,0.00028269
sp1061,0,0.00028118,0,0,0.0009837,0,0,0,0.00309336,0,0.00913178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1062,0,0,0,0.00407934,0.00252951,0,0,0,0,0,0,0.00617978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1063,0.00042212,0.00056235,0.00295234,0.00028133,0.00042159,0,0,0,0.0019685,0.00140647,0.00337173,0.0005618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0,0,0,0,0
sp1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00142146,0,0.00014144,0.00014164,0.00028373,0.00056649,0,0.00014156,0
sp1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084914,0.00056859,0,0,0.00028329,0.00099305,0.00099136,0,0.00042469,0.00028269
sp1069,0.00182918,0,0.00562351,0,0,0,0,0,0,0.00295359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1070,0.00056283,0.00140588,0.0022494,0.001266,0.00084317,0,0,0,0.00084364,0.00084388,0.00154538,0.00070225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099066,0.00042644,0.00014128,0.00169731,0.00056657,0,0,0,0.00014156,0
sp1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0.00014164,0.00014186,0.00070811,0.00141563,0.00070781,0.00113074
sp1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00042644,0.00014128,0,0.00042493,0,0.00042487,0.00028313,0.00042469,0
sp1074,0,0,0,0,0,0,0,0.00028094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0,0,0,0,0.00014162,0.00014156,0.00014156,0
sp1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00056859,0.00042385,0.00169731,0.00084986,0.00056746,0,0,0.00042469,0.00028269
sp1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099066,0,0,0.00155587,0,0.00014186,0,0,0,0
sp1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0.00113026,0,0,0,0,0.00042469,0,0
sp1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00085288,0,0.00028289,0,0.00028373,0,0,0.00028313,0
sp1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014144,0,0.00156051,0.00155785,0.00042469,0.00028313,0.00028269
sp1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056859,0,0,0.00028329,0.00014186,0,0,0,0.00042403
sp1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0,0,0.00042559,0.00042487,0.00198188,0.00141563,0.00113074
sp1084,0,0,0,0.00014067,0.00028106,0,0,0,0,0,0,0.0002809,0.01250527,0.00239234,0,0,0,0,0,0,0,0,0,0,0,0
sp1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0.00070641,0,0.00056657,0.00099305,0.00028325,0.00141563,0.00141563,0.00254417
sp1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0,0,0.00014186,0,0,0,0
sp1087,0,0,0,0,0,0,0.0004217,0.00969237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00014162,0,0,0
sp1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008477,0.00141443,0.00028329,0.00070932,0.00084974,0.0011325,0.00141563,0.00084806
sp1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00014215,0,0,0,0,0,0,0,0
sp1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0.00113717,0,0.00113154,0,0.00070932,0.00042487,0,0,0
sp1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240181,0.00028289,0.00042493,0.00028373,0.00014162,0,0.00014156,0.00028269
sp1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056859,0,0.00070721,0,0.00042559,0.00014162,0,0,0
sp1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0.00028429,0,0.00141443,0.00056657,0.00014186,0,0.00042469,0,0
sp1095,0.00196989,0.0022494,0,0,0,0,0,0,0.00253093,0.002391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1096,0.00070353,0.00070294,0.00168705,0.00028133,0.00042159,0,0,0,0.00168729,0.00084388,0.00182636,0.00070225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00014215,0,0,0,0.00014186,0,0,0,0
sp1098,0,0,0,0,0,0,0.00168681,0,0,0,0,0,0,0,0.00084329,0.00042135,0,0,0,0,0,0,0,0,0,0
sp1099,0,0,0,0,0,0,0,0.00014047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1100,0,0,0,0.00028133,0,0.00435822,0.00056227,0,0,0,0,0,0,0,0.00056219,0,0,0,0,0,0,0,0,0,0,0
sp1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00028429,0,0.00042433,0.00014164,0.00042559,0,0,0.00014156,0.00042403
sp1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00042644,0,0,0.00014164,0.00028373,0.00014162,0,0.00014156,0
sp1103,0.0021106,0.00267117,0.00182764,0,0,0.00028118,0,0,0.00224972,0.00281294,0,0,0.00056203,0.00014073,0,0,0,0,0,0,0,0,0,0,0,0
sp1104,0,0,0,0.00534534,0.00491849,0,0,0,0,0,0,0.00351124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070932,0.00042487,0.00212344,0.00042469,0.00183746
sp1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00099502,0,0.00042433,0.00014164,0.00085118,0.00028325,0,0,0
sp1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00056859,0.00042385,0.00070721,0.00028329,0.00028373,0.00014162,0.00042469,0.00056625,0.00042403
sp1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070761,0.00042644,0,0.00042433,0.00014164,0.00028373,0.00056649,0,0.00014156,0.00042403
sp1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0.00014215,0.00014128,0,0.00084986,0.00056746,0.00014162,0,0,0
sp1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155675,0.00042644,0,0.00056577,0.0009915,0,0,0,0,0
sp1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042644,0,0,0,0,0,0,0,0
sp1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0,0.00014128,0.00084866,0.00014164,0.00042559,0.00028325,0.00014156,0.00084938,0.00042403
sp1115,0,0,0,0.00576734,0.00393479,0,0,0,0,0,0.00238831,0.00351124,0.00042153,0.00042218,0,0,0,0,0,0,0,0,0,0,0,0
sp1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0.00014128,0.00014144,0.00028329,0.00042559,0,0.00028313,0.0011325,0.00056537
sp1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0,0,0,0,0,0,0,0
sp1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056859,0,0.00014144,0,0.00127678,0,0,0,0
sp1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113717,0.00014128,0,0,0.00014186,0,0,0,0
sp1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0.00014144,0.00028329,0.00085118,0.00056649,0.00028313,0.00084938,0.00084806
sp1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1123,0,0,0,0,0,0.00787291,0,0,0,0,0,0,0.00182661,0.00168871,0,0,0,0,0,0,0,0,0,0,0,0
sp1124,0,0,0,0,0,0,0,0,0,0,0.00014049,0,0,0,0,0,0,0,0.00028257,0,0,0,0.00028325,0,0,0
sp1125,0,0,0,0,0,0.00028118,0.00056227,0.00028094,0,0,0,0,0,0,0.00084329,0.00266854,0,0,0,0,0,0,0,0,0,0
sp1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1127,0,0,0.00028118,0.00154733,0.00323215,0,0,0,0,0.00014065,0.00210733,0.00210674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127371,0.00071073,0,0,0.00042493,0,0.00070811,0,0,0
sp1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0.0008477,0.00028289,0.00070822,0.00056746,0.00028325,0.00028313,0.00141563,0.00056537
sp1130,0.00196989,0.00154646,0.0011247,0,0,0,0,0,0.0018279,0.00182841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1131,0.00028141,0.00014059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1132,0,0,0.00126529,0.000844,0,0,0,0,0,0,0.00224782,0,0.00365322,0.00154799,0,0,0,0,0,0,0,0,0,0,0,0
sp1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183668,0.00042433,0.00042493,0.00042559,0,0.00141563,0.00028313,0.00014134
sp1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0.00070721,0,0.00014186,0.00028325,0,0.00014156,0.00028269
sp1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0,0.00014128,0,0,0.00028373,0.00014162,0,0,0
sp1136,0.00154777,0.00210881,0,0,0,0,0,0,0.00056243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00028429,0.00070641,0.00028289,0.00028329,0.00014186,0.00070811,0,0.00070781,0.00028269
sp1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028289,0.00028329,0.00028373,0.00113298,0,0.00056625,0.00014134
sp1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127678,0.00254921,0.0038222,0.00254813,0.00183746
sp1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00071073,0,0.00042433,0.00028329,0.00042559,0.00056649,0,0.00042469,0.00014134
sp1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0.00014144,0,0.00014186,0,0,0,0
sp1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1145,0.00126636,0.00070294,0,0,0,0,0,0,0.00534308,0.00379747,0.00042147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099066,0,0,0.00084866,0,0,0,0,0.00014156,0.00028269
sp1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0.00113154,0.00028329,0.00056746,0.00028325,0.00028313,0.00028313,0
sp1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0,0,0,0,0,0,0,0
sp1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070641,0.00042433,0,0,0.00014162,0.00014156,0,0
sp1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099066,0.00042644,0,0.00056577,0,0.00028373,0.00056649,0.00014156,0.00014156,0.00028269
sp1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099066,0,0,0.00113154,0,0.00184423,0,0.0011325,0.00268969,0
sp1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00014215,0.00183668,0.00042433,0.00084986,0.00028373,0.00056649,0.00169875,0.00042469,0.0009894
sp1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp1155,0.00014071,0.00056235,0.00098411,0.00281334,0.00267004,0,0,0,0.00126547,0.00042194,0.00084293,0.00365169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042559,0.00056649,0.00014156,0.00042469,0.00056537
sp1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
