,Sp22Columbia,Sp22upperColumbia,Sp22Willamette,Fa23Columbia,Fa23Sandy,Fa23Willamette
sp89,0.000406977,0.000511628,0.000767442,0.004686047,0,0.001337209
sp90,0.006267442,0.006639535,0.001069767,0,1.16279E-05,0
sp91,0.000569767,0.000313953,0.001697674,0.001046512,0.000697674,0.004186047
sp92,0.001325581,0.00144186,0.002418605,0.002465116,0.00027907,0.001337209
sp93,0.000488372,0.00055814,0.000430233,0.0055,0,0.000686047
sp94,0.005255814,0.006081395,0,0.001151163,0,0
sp95,0,0.00044186,0.000151163,0.000639535,0,0.005569767
sp96,0.001162791,0.001325581,0.002337209,0.002034884,0.000325581,0.00155814
sp97,0.000511628,0.000465116,0.001697674,0.001418605,0,0.004069767
sp98,0.006093023,0.005395349,0.001267442,0,1.16279E-05,0.000209302
sp99,0.007,0.004406977,0.001046512,0,6.97674E-05,0.000127907
sp100,0.000476744,0.000546512,0.000825581,0.001430233,0,0.003709302
sp101,0.002744186,0.001604651,0.002686047,0.000511628,0.001953488,0.000406977
sp102,0.005732558,0.005325581,0.001116279,0,4.65116E-05,8.13953E-05
sp103,0.001,0.001476744,0.002674419,0.001767442,0.000546512,0.001383721
sp104,0.002953488,0.002186047,0.002255814,0.000337209,0.001906977,0.000186047
sp105,0,0,0,0,0,0.006360465
sp106,0.004616279,0.004848837,0,0.001395349,0,0
sp107,0.000325581,0.000511628,0,0.003883721,0.000511628,0.001104651
sp108,0,0.000383721,0.000244186,0,0.005651163,0
sp109,0.000965116,0.001127907,0.003418605,0,0.002709302,0.000616279
sp110,0.002802326,0.002848837,0.001569767,0.000453488,0.001860465,0.00022093
sp111,0.001209302,0.001046512,0.002313953,0.00172093,4.65116E-05,0.001825581
sp112,0.00555814,0.006395349,0,0,0,0
sp113,0.000918605,0.001197674,0.000686047,0.002465116,0.000337209,0.001523256
sp114,0.006023256,0.004709302,0.000755814,0,0,8.13953E-05
sp115,0.00577907,0.004430233,0.001081395,0,4.65116E-05,0.000186047
sp116,0.000918605,0.000895349,0.002267442,0.001616279,3.48837E-05,0.001674419
sp117,0.000837209,0.001290698,0.001581395,0.00222093,0.000337209,0.001302326
sp118,0.004302326,0.004674419,0,0.001197674,0,0
sp119,0.001186047,0.000813953,0.003,0.00122093,0.000465116,0.001465116
sp120,0.000918605,0.000906977,0.000686047,0.002488372,0.000383721,0.001465116
sp121,0.0005,0.000244186,0.001337209,0.000255814,0.002453488,0.001883721
sp122,0.002337209,0.002081395,0.002174419,0.000395349,0.00122093,0.000465116
sp123,0.000325581,0.000546512,0.000488372,0.000651163,0.000232558,0.003895349
sp124,0.000418605,0.000290698,0.000325581,0.000697674,0.000348837,0.003976744
sp125,0.000732558,0.000593023,0.00255814,0.00122093,0.000476744,0.00177907
sp126,0.000534884,0.000511628,0.001930233,0.000860465,0.00044186,0.002465116
sp127,0.000569767,0,0.0015,0.000651163,0.000430233,0.003139535
sp128,0.001953488,0.001651163,0.000813953,0.00194186,0,0.001023256
sp129,0.000511628,0.000290698,0.001093023,0.000244186,0.003383721,0.001151163
sp130,0.00105814,0.001104651,0.001686047,0.001837209,0.000174419,0.000918605
sp131,0,0.000697674,0.000232558,0,0.004918605,0
sp132,0.002302326,0.002337209,0.002197674,0.000232558,0.001186047,0.000209302
sp133,0.002104651,0.00172093,0.001883721,0.000372093,0.001406977,0.000244186
sp134,0.000383721,0.000348837,0.001337209,0.000255814,0.002976744,0.001023256
sp135,0.000883721,0.001313953,0.00044186,0.002430233,0.000372093,0.000906977
sp136,0.000465116,0,0,0.004662791,0,0.00044186
sp137,0.000255814,0.000232558,0.001476744,0.000360465,0.00205814,0.001488372
sp138,0.000860465,0.000627907,0.001860465,0.001395349,0.000511628,0.001290698
sp139,0.000313953,0.000430233,0.001290698,0.001046512,0,0.002790698
sp140,0.000406977,0.000581395,0.00122093,0.000872093,0,0.002883721
sp141,0.004616279,0.004162791,0.000965116,0,1.16279E-05,2.32558E-05
sp142,0,0.000662791,0,0.004406977,0,0
sp143,0.000313953,0.000616279,0.000244186,0.003197674,0.000151163,0.000616279
sp144,0.000662791,0.000418605,0.001197674,0.001174419,0,0.002383721
sp145,0.000488372,0.000465116,0.001313953,0.000837209,0.000860465,0.001767442
sp146,0,0,0,0.001686047,0.000337209,0.002755814
sp147,0.000534884,0.00044186,0.001511628,0.00127907,0,0.00194186
sp148,0.00077907,0.000976744,0.001732558,0.001430233,0.000197674,0.001116279
sp149,0.000732558,0.000860465,0.000337209,0.002348837,0.000372093,0.000848837
sp150,0.000593023,0.001104651,0.003162791,0,0.001662791,0.000430233
sp151,0.000744186,0.000755814,0.00177907,0.0015,0.000616279,0.000930233
sp152,0.000104651,3.48837E-05,0.000546512,0.000348837,0.000337209,0.00344186
sp153,0.000988372,0.000825581,0.002139535,0.000930233,3.48837E-05,0.001406977
sp154,0.001127907,0.001418605,0.000569767,0.00177907,0,0.000813953
sp155,0.000767442,0.000953488,0.002011628,0.001209302,1.16279E-05,0.00127907
sp156,0,0,0.000139535,0,0.00422093,0
sp157,0.000593023,0.001081395,0.000953488,0.001709302,0.000267442,0.001023256
sp158,0.000430233,0.000406977,0.001511628,0.000872093,0.000744186,0.002081395
sp159,0.000255814,0,0.000174419,0,0.004302326,5.81395E-05
sp160,0.000313953,0.000232558,0.002488372,0.000151163,0.001127907,0.00144186
sp161,0.004197674,0.004151163,0.000453488,0,0,0
sp162,0,0,0,0.000360465,0,0.003744186
sp163,0.001616279,0.0015,0.000476744,0.001790698,0,0.000651163
sp164,0.000860465,0.001127907,0.001965116,0.001197674,9.30233E-05,0.000813953
sp165,0.002255814,0.001755814,0.001837209,0.000244186,0.001104651,9.30233E-05
sp166,0.003860465,0.003674419,0.000860465,0,2.32558E-05,3.48837E-05
sp167,0.000325581,0.000360465,0.001267442,0.000209302,0.00244186,0.00072093
sp168,0.000906977,0.000965116,0.000523256,0.002162791,0.000255814,0.000651163
sp169,0.000860465,0.001104651,0.0015,0.001290698,0.000325581,0.000639535
sp170,0,0,0,0.004104651,0,0
sp171,0.000348837,0.00027907,0.002034884,0.000244186,0.00122093,0.001232558
sp172,0.004302326,0.003732558,0.000151163,0,0,0
sp173,0,0,0.00022093,0.000162791,0.004127907,9.30233E-05
sp174,0.002406977,0.002174419,0.001465116,0.000151163,0.000802326,6.97674E-05
sp175,0.003744186,0.004255814,0.000151163,0,0,0
sp176,0.00027907,0.000418605,0.00194186,0.000139535,0.001813953,0.000872093
sp177,0,0,0.00027907,0,0.004011628,0
sp178,0,0,0.000360465,0.000325581,0,0.003453488
sp179,0,0,0,0.001732558,0,0.002
sp180,0.003651163,0.004313953,0,0,0,0
sp181,0.003895349,0.003616279,0.000255814,0,0,0
sp182,0.000325581,0.000174419,0.002465116,0.000162791,0.001732558,0.000732558
sp183,0.000302326,0.000383721,0.001569767,0.000116279,0.001744186,0.00094186
sp184,0.001162791,0,0,0.002767442,0,0.000546512
sp185,0.000476744,0.000348837,0.001104651,0.000837209,0,0.001895349
sp186,0.00072093,0.000674419,0.000453488,0.001639535,0.000139535,0.001093023
sp187,0.00105814,0.001011628,0.001244186,0.001104651,3.48837E-05,0.000906977
sp188,0,0,0,0.003767442,0,0
sp189,0.00044186,0,0.000965116,0.000534884,0.000744186,0.001593023
sp190,0.000709302,0.000244186,0.000848837,0.002406977,0.000162791,0.000151163
sp191,0,0,0,0.00344186,0,0.000255814
sp192,0.003186047,0.004093023,0,0,0,0
sp193,0.000686047,0,0,0.003174419,0,0
sp194,0.000360465,0.000360465,0,0.003116279,0,0
sp195,0.003337209,0.00377907,0,0,0,0
sp196,0,0.000627907,0,0.002860465,0,0
sp197,0.000290698,0.000139535,0.000360465,0.000348837,0.00027907,0.002662791
sp198,0.000244186,0.000395349,0.000255814,0.000383721,0.000197674,0.002372093
sp199,0.000313953,0.000267442,0.001348837,0.000651163,0.000511628,0.001337209
sp200,0,0,0.000465116,0.000174419,0,0.003162791
sp201,0.000744186,0.001162791,0.001232558,0.001232558,0.000209302,0.000383721
sp202,0.002186047,0.001232558,0.001709302,0.00027907,0.000476744,0
sp203,0.000627907,0.001093023,0.000302326,0.001674419,0.000244186,0.000546512
sp204,0.000581395,0.00044186,0.000430233,0.001302326,0,0.0015
sp205,0.00044186,0.000581395,0.001093023,0.001,0,0.001197674
sp206,0.001395349,0.001162791,0.001023256,0.000325581,0.000906977,0.000313953
sp207,0.00022093,0.000651163,0,0.002895349,0,0
sp208,0,0,0,0.003430233,0,0
sp209,0.000406977,0.000313953,0.000848837,0.000697674,0,0.001883721
sp210,0.000534884,0.000813953,0.001465116,0.000430233,0.000837209,0.000744186
sp211,0.000337209,0.000430233,0.000581395,0.000372093,0.000232558,0.001883721
sp212,0,0,0,0.002639535,0,0.00044186
sp213,0.003325581,0.003232558,0,0.000104651,0,0
sp214,0.000744186,0.000825581,0.001511628,0.001034884,0,0.000860465
sp215,0.003534884,0.003023256,0.000186047,0,0,0
sp216,0,0,0,0.003406977,8.13953E-05,0
sp217,0.000662791,0.000988372,0.000604651,0.001395349,0,0.000767442
sp218,0.00305814,0.003360465,0.000116279,0,0,0
sp219,0.000488372,0.000290698,0.000674419,0.000523256,0.000197674,0.001860465
sp220,0.000430233,0.000290698,0,0.002953488,0,0.000104651
sp221,0.002976744,0.003139535,0.000383721,0,0,0
sp222,0.000755814,0.001174419,0.000395349,0.00127907,0.000186047,0.0005
sp223,0.000430233,0.000709302,0.000383721,0.001534884,0.000325581,0.000395349
sp224,0.000395349,0.000348837,0,0.001430233,0,0.001418605
sp225,0.000627907,0.000732558,0.001732558,0.000732558,0.000267442,0.000534884
sp226,0.001139535,0.00122093,0.001046512,0.000360465,0.000837209,0.000197674
sp227,0.000627907,0,0,0.002813953,0,0
sp228,0.000232558,0,0.00127907,0.000348837,0.000337209,0.001569767
sp229,0.000209302,0,8.13953E-05,0,0.002883721,0.000104651
sp230,0.000151163,5.81395E-05,0.000488372,0.000511628,0.000325581,0.001953488
sp231,0.000790698,0.00072093,0.000872093,0.001023256,0.000302326,0.000406977
sp232,0.002255814,0.00194186,0.001883721,0,0,0
sp233,0.000383721,0,0,0.002813953,0,0
sp234,0,0,0.000511628,0.000232558,0,0.002627907
sp235,0.001011628,0.001232558,0.000267442,0.001465116,0,0.00027907
sp236,0,0,0.000139535,0,0.003197674,0.000151163
sp237,0.000290698,0.000418605,0.001325581,0.0005,0.000418605,0.001209302
sp238,0,0,0.0005,0.000488372,0.000511628,0.001825581
sp239,0.000302326,0.000302326,0.001395349,0.000395349,0.0005,0.00094186
sp240,0,0,0,0.000267442,0,0.002569767
sp241,0.002674419,0.003104651,0.000232558,0,0,0
sp242,0,0,0,0.002930233,0,0
sp243,0.002709302,0.003255814,0,0,0,0
sp244,0.000383721,0.000104651,0.000395349,0.000255814,0.000151163,0.001906977
sp245,0,0,0.000267442,0.000476744,0,0.002383721
sp246,0.002755814,0.003093023,9.30233E-05,0,0,0
sp247,0.00055814,0.000918605,0.000453488,0.001023256,0.000267442,0.000488372
sp248,0.0005,0.000604651,0.000872093,0.000569767,0.000302326,0.000767442
sp249,0.000372093,0.000569767,0.000872093,0.000534884,0.000325581,0.001069767
sp250,0,0.000418605,0.000197674,0,0.002511628,0
sp251,0.000395349,0.000244186,0.001011628,0.000151163,0.001453488,0.000511628
sp252,0.000395349,0,0.001627907,0.000127907,0.001255814,0.000476744
sp253,0.000383721,0.000360465,0.001069767,0.000127907,0.001360465,0.00055814
sp254,0,0.000162791,0.000639535,0.002488372,0,0.000174419
sp255,0,0,0.000232558,0.000360465,0,0.002232558
sp256,0.000581395,0.00055814,0.002965116,0.000302326,0.000325581,0.000127907
sp257,0.000127907,0,0.000383721,0.000418605,0,0.002162791
sp258,0.00272093,0.003034884,0,0,0,0
sp259,0.001418605,0.000790698,0.001906977,0.00022093,0.000546512,0
sp260,0.000813953,0.000930233,0.000825581,0.000476744,0.000872093,0.000255814
sp261,0,0.000709302,0,0.002337209,0,0
sp262,0.00194186,0.001290698,0.001372093,0,0.000534884,0
sp263,5.81395E-05,0.00027907,0.000430233,0.000395349,0,0.00177907
sp264,0,0,0,0.0025,0,0
sp265,0,0,0,0.002651163,0,0.000162791
sp266,0.00277907,0.002627907,0,8.13953E-05,0,0
sp267,0,0,0.00022093,0,0.00244186,0.000232558
sp268,0.000872093,0.000837209,0.000883721,0.000372093,0.000732558,0.000360465
sp269,0.000302326,0,0.001883721,0,0.000802326,0.000802326
sp270,0,0.000767442,0,0.002232558,0,0
sp271,0,0,0,0.002709302,0,0
sp272,0.000232558,0,0.001686047,0.000116279,0.000883721,0.00072093
sp273,0,0,0,0.002802326,0,0
sp274,0.00027907,0,0.001872093,0,0.001267442,0.000313953
sp275,0,0,0,0.002790698,0,0
sp276,0.000732558,0,0.00105814,0.000267442,0.000546512,0.00094186
sp277,0,0,0,0.000267442,0,0.00205814
sp278,0.000418605,0.000325581,0,0.00155814,0,0.000686047
sp279,0,0,0.001383721,0.000162791,0.000325581,0.001395349
sp280,0.002686047,0.002639535,0,0,0,0
sp281,0.000767442,0.000476744,0.002639535,0.000337209,0.000267442,0
sp282,0.000372093,0.000465116,0.000790698,0.000593023,0,0.001325581
sp283,0,0,0.000337209,0.000453488,0,0.00205814
sp284,0.001430233,0.00127907,0.001581395,0,0,0.000476744
sp285,0.000116279,0.000104651,0.001174419,6.97674E-05,0.001593023,0.000267442
sp286,0.002348837,0.002686047,0.000162791,0,0,0
sp287,0.000290698,0.000116279,0.000267442,0.00027907,6.97674E-05,0.001953488
sp288,0.000616279,0.000883721,0.00044186,0.001046512,0.000127907,0.000476744
sp289,0.000534884,0.000360465,0.002802326,0.000290698,0.000325581,5.81395E-05
sp290,0.000139535,5.81395E-05,0.000976744,0.000127907,0.001883721,0.000139535
sp291,0.000686047,0.000965116,0.000918605,0.000767442,9.30233E-05,0.000348837
sp292,0.002767442,0.002418605,0,0,0,0
sp293,0.000337209,0.000267442,0.001825581,8.13953E-05,0.00094186,0.000244186
sp294,0,0,0,0.002744186,0,0
sp295,0.002755814,0.002337209,0,0,0,0
sp296,0.000616279,0.000709302,0.000953488,0.000813953,1.16279E-05,0.000534884
sp297,0,0,0.000372093,0,0,0.002313953
sp298,0.000930233,0.000813953,0.000744186,0.000430233,0.000569767,0.000337209
sp299,0.000651163,0,0.001232558,0,0.000302326,0.001127907
sp300,0.000627907,0,0,0.002186047,0,0
sp301,0.00022093,0,0,0.002418605,0,0
sp302,0,0,0.001162791,0,0.000511628,0.00144186
sp303,0.001767442,0.001895349,0.000604651,0.00022093,0,2.32558E-05
sp304,0.000406977,0,0.00322093,0,0.00044186,0.000174419
sp305,0.000232558,0.000290698,0.000430233,0.000395349,0.000325581,0.001116279
sp306,0,0.000395349,0,0.001930233,0,0.000162791
sp307,0.000418605,0.000488372,0.002569767,0.000209302,0.000360465,4.65116E-05
sp308,0,0,0,0.002290698,0,0
sp309,0.001918605,0.001372093,0.001430233,0,0,0
sp310,0,0,0.002209302,0,0.000104651,0.001069767
sp311,0,0.000511628,0,0.001209302,0,0.000895349
