,Sp22Columbia,Sp22upperColumbia,Sp22Willamette,Fa23Columbia,Fa23Sandy,Fa23Willamette
sp3781,0,0,0,0,0.000162791,0
sp3782,0,0,0,0,0.000244186,0
sp3783,0,0,0,0,0.000186047,0
sp3784,0,0,0,0,0.000244186,0
sp3785,0,0,0,0,0.000197674,0
sp3786,0,0,0,0,0.000186047,0
sp3787,0,0,0,0,0.000139535,8.13953E-05
sp3788,0,0,0,0,0,0.000244186
sp3789,0,0,0,0,0,0.000151163
sp3790,0,0,0,0,0,0.00022093
sp3791,0,0,0,0,0,0.000267442
sp3792,0,0,0,0,0,0.000186047
sp3793,0,0,0,0,0,0.000244186
sp3794,0,0,0,0,0,0.000209302
sp3795,0,0,0,0,0,0.00022093
sp3796,0,0,0,0,0,0.000267442
sp3797,0,0,0,0,0,0.000186047
sp3798,0.000406977,0,0,0,0,0
sp3799,0.000406977,0,0,0,0,0
sp3800,0.000406977,0,0,0,0,0
sp3801,0.000406977,0,0,0,0,0
sp3802,0.000406977,0,0,0,0,0
sp3803,0.000406977,0,0,0,0,0
sp3804,0.000406977,0,0,0,0,0
sp3805,0.000267442,0.000139535,0,0,0,0
sp3806,0.000139535,0.000162791,9.30233E-05,0,0,0
sp3807,0,0.000395349,0,0,0,0
sp3808,0,0.000406977,0,0,0,0
sp3809,0,0.000360465,0,0,0,0
sp3810,0,0.000383721,0,0,0,0
sp3811,0,0.000395349,0,0,0,0
sp3812,0,0.000383721,0,0,0,0
sp3813,0,0,0.000372093,0,0,0
sp3814,0,0,0.000325581,0,0,0
sp3815,0,0,0.000383721,0,0,0
sp3816,0,0,0.000360465,0,0,0
sp3817,0,0,0.000348837,0,0,0
sp3818,0,0,0.000348837,0,0,0
sp3819,0,0,0.000360465,0,0,0
sp3820,0,0,0.000127907,0,0,0.000139535
sp3821,0,0,0,0.00022093,0,0
sp3822,0,0,0,0.000186047,0,0
sp3823,0,0,0,0.00022093,0,0
sp3824,0,0,0,0.000186047,0,0
sp3825,0,0,0,0.000244186,0,0
sp3826,0,0,0,0.000255814,0,0
sp3827,0,0,0,0.000186047,0,0
sp3828,0,0,0,0.000151163,0,0
sp3829,0,0,0,0.000197674,0,0
sp3830,0,0,0,0.000197674,0,0
sp3831,0,0,0,0.000151163,0,0
sp3832,0,0,0,0.000174419,0,0
sp3833,0,0,0,0.000209302,0,0
sp3834,0,0,0,0,0.000232558,0
sp3835,0,0,0,0,0.000162791,0
sp3836,0,0,0,0,0.00022093,0
sp3837,0,0,0,0,0.000151163,0
sp3838,0,0,0,0,0.000244186,0
sp3839,0,0,0,0,0.000244186,0
sp3840,0,0,0,0,0.000255814,0
sp3841,0,0,0,0,0.000174419,0
sp3842,0,0,0,0,0.00022093,0
sp3843,0,0,0,0,0.000186047,0
sp3844,0,0,0,0,0.000162791,0
sp3845,0,0,0,0,0.000197674,0
sp3846,0,0,0,0,0.000162791,0
sp3847,0,0,0,0,0.00022093,0
sp3848,0,0,0,0,0.000244186,0
sp3849,0,0,0,0,0.000232558,0
sp3850,0,0,0,0,0.00022093,0
sp3851,0,0,0,0,0.000209302,0
sp3852,0,0,0,0,0.000197674,0
sp3853,0,0,0,0,0.00022093,0
sp3854,0,0,0,0,0.000244186,0
sp3855,0,0,0,0,0.000244186,0
sp3856,0,0,0,0,0.000232558,0
sp3857,0,0,0,0,0.000244186,0
sp3858,0,0,0,0,0.000255814,0
sp3859,0,0,0,0,0.000232558,0
sp3860,0,0,0,0,0.000174419,0
sp3861,0,0,0,0,0.000197674,0
sp3862,0,0,0,0,0.000197674,0
sp3863,0,0,0,0,0.000186047,0
sp3864,0,0,0,0,0.000186047,0
sp3865,0,0,0,0,0.000197674,0
sp3866,0,0,0,0,0.000139535,0
sp3867,0,0,0,0,0.00022093,0
sp3868,0,0,0,0,0.000197674,0
sp3869,0,0,0,0,0.000174419,0
sp3870,0,0,0,0,0.000232558,0
sp3871,0,0,0,0,0.000244186,0
sp3872,0,0,0,0,0.000162791,0
sp3873,0,0,0,0,0.000255814,0
sp3874,0,0,0,0,0.000151163,6.97674E-05
sp3875,0,0,0,0,0.000162791,6.97674E-05
sp3876,0,0,0,0,0,0.00022093
sp3877,0,0,0,0,0,0.000151163
sp3878,0,0,0,0,0,0.000186047
sp3879,0,0,0,0,0,0.000174419
sp3880,0,0,0,0,0,0.000186047
sp3881,0,0,0,0,0,0.00022093
sp3882,0,0,0,0,0,0.000209302
sp3883,0,0,0,0,0,0.000151163
sp3884,0,0,0,0,0,0.000197674
sp3885,0,0,0,0,0,0.000151163
sp3886,0.000395349,0,0,0,0,0
sp3887,0.000395349,0,0,0,0,0
sp3888,0.000244186,0,0,0,5.81395E-05,0
sp3889,0.000232558,0.000162791,0,0,0,0
sp3890,0,0.000372093,0,0,0,0
sp3891,0,0.000348837,0,0,0,0
sp3892,0,0.000372093,0,0,0,0
sp3893,0,0.000372093,0,0,0,0
sp3894,0,0.000372093,0,0,0,0
sp3895,0,0.000209302,0,8.13953E-05,0,0
sp3896,0,0,0.000325581,0,0,0
sp3897,0,0,0.000372093,0,0,0
sp3898,0,0,0.000348837,0,0,0
sp3899,0,0,0.000348837,0,0,0
sp3900,0,0,0.000383721,0,0,0
sp3901,0,0,0.000348837,0,0,0
sp3902,0,0,0.000372093,0,0,0
sp3903,0,0,0.000337209,0,0,0
sp3904,0,0,0,0.000151163,0,0
sp3905,0,0,0,0.000197674,0,0
sp3906,0,0,0,0.000186047,0,0
sp3907,0,0,0,0.000127907,0,0
sp3908,0,0,0,0.000174419,0,0
sp3909,0,0,0,0.000186047,0,0
sp3910,0,0,0,0.000209302,0,0
sp3911,0,0,0,0.000151163,0,0
sp3912,0,0,0,0.000174419,0,0
sp3913,0,0,0,0.000151163,0,0
sp3914,0,0,0,0.000139535,0,0
sp3915,0,0,0,0.000209302,0,0
sp3916,0,0,0,0.000197674,0,0
sp3917,0,0,0,0.000162791,0,0
sp3918,0,0,0,4.65116E-05,0,0.000127907
sp3919,0,0,0,0,0.000197674,0
sp3920,0,0,0,0,0.000174419,0
sp3921,0,0,0,0,0.000209302,0
sp3922,0,0,0,0,0.00022093,0
sp3923,0,0,0,0,0.000186047,0
sp3924,0,0,0,0,0.00022093,0
sp3925,0,0,0,0,0.00022093,0
sp3926,0,0,0,0,0.000186047,0
sp3927,0,0,0,0,0.000174419,0
sp3928,0,0,0,0,0.000139535,0
sp3929,0,0,0,0,0.000186047,0
sp3930,0,0,0,0,0.000162791,0
sp3931,0,0,0,0,0.000186047,0
sp3932,0,0,0,0,0.00022093,0
sp3933,0,0,0,0,0.000186047,0
sp3934,0,0,0,0,0.00022093,0
sp3935,0,0,0,0,0.000232558,0
sp3936,0,0,0,0,0.000209302,0
sp3937,0,0,0,0,0.000162791,0
sp3938,0,0,0,0,0.00022093,0
sp3939,0,0,0,0,0.000174419,0
sp3940,0,0,0,0,0.000232558,0
sp3941,0,0,0,0,0.00022093,0
sp3942,0,0,0,0,0.00022093,0
sp3943,0,0,0,0,0.000186047,0
sp3944,0,0,0,0,0.000162791,0
sp3945,0,0,0,0,0.000255814,0
sp3946,0,0,0,0,0.000209302,0
sp3947,0,0,0,0,0.000255814,0
sp3948,0,0,0,0,0.000209302,0
sp3949,0,0,0,0,0.00022093,0
sp3950,0,0,0,0,0.000290698,0
sp3951,0,0,0,0,0.000209302,0
sp3952,0,0,0,0,0.000232558,0
sp3953,0,0,0,0,0.000209302,0
sp3954,0,0,0,0,0.000151163,0
sp3955,0,0,0,0,0.000244186,0
sp3956,0,0,0,0,0.000209302,0
sp3957,0,0,0,0,0.000197674,0
sp3958,0,0,0,0,0.00022093,0
sp3959,0,0,0,0,0.000232558,0
sp3960,0,0,0,0,0.000255814,0
sp3961,0,0,0,0,0.000197674,0
sp3962,0,0,0,0,0.000244186,0
sp3963,0,0,0,0,0.000186047,0
sp3964,0,0,0,0,0.000197674,0
sp3965,0,0,0,0,6.97674E-05,9.30233E-05
sp3966,0,0,0,0,0,0.000209302
sp3967,0,0,0,0,0,0.000151163
sp3968,0,0,0,0,0,0.000139535
sp3969,0,0,0,0,0,0.000209302
sp3970,0,0,0,0,0,0.000197674
sp3971,0,0,0,0,0,0.000197674
sp3972,0,0,0,0,0,0.000174419
sp3973,0,0,0,0,0,0.000174419
sp3974,0.000383721,0,0,0,0,0
sp3975,0.000383721,0,0,0,0,0
sp3976,0.000383721,0,0,0,0,0
sp3977,0.000372093,0,0,0,0,0
sp3978,0.000383721,0,0,0,0,0
sp3979,0.000383721,0,0,0,0,0
sp3980,0.000383721,0,0,0,0,0
sp3981,0.000383721,0,0,0,0,0
sp3982,0,0.000348837,0,0,0,0
sp3983,0,0.000360465,0,0,0,0
sp3984,0,0.000360465,0,0,0,0
sp3985,0,0.000348837,0,0,0,0
sp3986,0,0.000372093,0,0,0,0
sp3987,0,0.000360465,0,0,0,0
sp3988,0,9.30233E-05,0.000255814,0,0,0
sp3989,0,0,0.000337209,0,0,0
sp3990,0,0,0.000383721,0,0,0
sp3991,0,0,0.000360465,0,0,0
sp3992,0,0,0.000360465,0,0,0
sp3993,0,0,0,0.000162791,0,0
sp3994,0,0,0,0.000151163,0,0
sp3995,0,0,0,0.000197674,0,0
sp3996,0,0,0,0.000209302,0,0
sp3997,0,0,0,0.000209302,0,0
sp3998,0,0,0,0.000162791,0,0
sp3999,0,0,0,0.000186047,0,0
sp4000,0,0,0,0.000139535,0,0
sp4001,0,0,0,0.000174419,0,0
sp4002,0,0,0,0.000174419,0,0
sp4003,0,0,0,0.000116279,0,0
sp4004,0,0,0,0.000151163,0,0
sp4005,0,0,0,0.000151163,0,0
sp4006,0,0,0,0.000186047,0,0
sp4007,0,0,0,0.000151163,0,0
sp4008,0,0,0,0.000162791,0,0
sp4009,0,0,0,0.000209302,0,0
sp4010,0,0,0,0.000151163,0,0
sp4011,0,0,0,0.000139535,0,0
sp4012,0,0,0,0.000186047,0,0
sp4013,0,0,0,0.000186047,0,0
sp4014,0,0,0,0.000186047,0,0
sp4015,0,0,0,0.000197674,0,0
sp4016,0,0,0,0.000174419,0,0
sp4017,0,0,0,0.000139535,0,0
sp4018,0,0,0,0.000104651,0,0
sp4019,0,0,0,0.000162791,0,0
sp4020,0,0,0,0.000197674,0,0
sp4021,0,0,0,0,0.000186047,0
sp4022,0,0,0,0,0.000151163,0
sp4023,0,0,0,0,0.00022093,0
sp4024,0,0,0,0,0.000255814,0
sp4025,0,0,0,0,0.000197674,0
sp4026,0,0,0,0,0.000209302,0
sp4027,0,0,0,0,0.000197674,0
sp4028,0,0,0,0,0.000139535,0
sp4029,0,0,0,0,0.00022093,0
sp4030,0,0,0,0,0.000174419,0
sp4031,0,0,0,0,0.000232558,0
sp4032,0,0,0,0,0.000162791,0
sp4033,0,0,0,0,0.00022093,0
sp4034,0,0,0,0,0.000174419,0
sp4035,0,0,0,0,0.000186047,0
sp4036,0,0,0,0,0.000197674,0
sp4037,0,0,0,0,0.000209302,0
sp4038,0,0,0,0,0.000197674,0
sp4039,0,0,0,0,0.00022093,0
sp4040,0,0,0,0,0.000209302,0
sp4041,0,0,0,0,0.000151163,0
sp4042,0,0,0,0,0.000162791,0
sp4043,0,0,0,0,0.000139535,0
sp4044,0,0,0,0,0.000232558,0
sp4045,0,0,0,0,0.000197674,0
sp4046,0,0,0,0,0.000174419,0
sp4047,0,0,0,0,0.000162791,0
sp4048,0,0,0,0,0.000139535,0
sp4049,0,0,0,0,0.000197674,0
sp4050,0,0,0,0,0.000186047,0
sp4051,0,0,0,0,0.000162791,0
sp4052,0,0,0,0,0.000139535,0
sp4053,0,0,0,0,0.00022093,0
sp4054,0,0,0,0,0.000139535,0
sp4055,0,0,0,0,0.000186047,0
sp4056,0,0,0,0,0.000255814,0
sp4057,0,0,0,0,0.00022093,0
sp4058,0,0,0,0,0.00022093,0
sp4059,0,0,0,0,0.00022093,0
sp4060,0,0,0,0,0.000197674,0
sp4061,0,0,0,0,0.000209302,0
sp4062,0,0,0,0,0.000139535,0
sp4063,0,0,0,0,0.000174419,0
sp4064,0,0,0,0,0.000174419,0
sp4065,0,0,0,0,0.000186047,0
sp4066,0,0,0,0,0.000162791,0
sp4067,0,0,0,0,0.00022093,0
sp4068,0,0,0,0,0.000232558,0
sp4069,0,0,0,0,0.000197674,0
sp4070,0,0,0,0,0,0.000197674
sp4071,0,0,0,0,0,0.000151163
sp4072,0,0,0,0,0,0.000186047
sp4073,0,0,0,0,0,0.000162791
sp4074,0,0,0,0,0,0.000174419
sp4075,0,0,0,0,0,0.00022093
sp4076,0,0,0,0,0,0.000151163
sp4077,0,0,0,0,0,0.000209302
sp4078,0,0,0,0,0,0.00022093
sp4079,0,0,0,0,0,0.000186047
sp4080,0,0,0,0,0,0.000174419
sp4081,0,0,0,0,0,0.000209302
sp4082,0,0,0,0,0,0.000174419
sp4083,0.000372093,0,0,0,0,0
sp4084,0.000372093,0,0,0,0,0
sp4085,0.000372093,0,0,0,0,0
sp4086,0.000372093,0,0,0,0,0
sp4087,0.000360465,0,0,0,0,0
sp4088,0.000127907,0,0.000232558,0,0,0
sp4089,0,0.000325581,0,0,0,0
sp4090,0,0.000360465,0,0,0,0
sp4091,0,0.000360465,0,0,0,0
sp4092,0,0.000360465,0,0,0,0
sp4093,0,0.000348837,0,0,0,0
sp4094,0,0.000337209,0,0,0,0
sp4095,0,0.000372093,0,0,0,0
sp4096,0,9.30233E-05,0,9.30233E-05,0,0
sp4097,0,0,0.000337209,0,0,0
sp4098,0,0,0.000337209,0,0,0
sp4099,0,0,0.000313953,0,0,0
sp4100,0,0,0.000360465,0,0,0
sp4101,0,0,0.000325581,0,0,0
sp4102,0,0,0.000372093,0,0,0
sp4103,0,0,0.000313953,0,0,0
sp4104,0,0,0.000348837,0,0,0
sp4105,0,0,0.000372093,0,0,0
sp4106,0,0,0.000348837,0,0,0
sp4107,0,0,0.000348837,0,0,0
sp4108,0,0,0.000255814,0,0,5.81395E-05
sp4109,0,0,0,0.000186047,0,0
sp4110,0,0,0,0.000162791,0,0
sp4111,0,0,0,0.000174419,0,0
sp4112,0,0,0,0.00022093,0,0
sp4113,0,0,0,0.000209302,0,0
sp4114,0,0,0,0.000127907,0,0
sp4115,0,0,0,0.000174419,0,0
sp4116,0,0,0,0.000255814,0,0
sp4117,0,0,0,0.000174419,0,0
sp4118,0,0,0,0.000162791,0,0
sp4119,0,0,0,0.00022093,0,0
sp4120,0,0,0,0.000209302,0,0
sp4121,0,0,0,0.000151163,0,0
sp4122,0,0,0,0.000197674,0,0
sp4123,0,0,0,0.000139535,0,0
sp4124,0,0,0,0.000197674,0,0
sp4125,0,0,0,0.000174419,0,0
sp4126,0,0,0,0.000209302,0,0
sp4127,0,0,0,0.000209302,0,0
sp4128,0,0,0,0.000186047,0,0
sp4129,0,0,0,0.000116279,0,0
sp4130,0,0,0,0.000162791,0,0
sp4131,0,0,0,0.000162791,0,0
sp4132,0,0,0,2.32558E-05,0.000162791,0
sp4133,0,0,0,0,0.000186047,0
sp4134,0,0,0,0,0.000209302,0
sp4135,0,0,0,0,0.000174419,0
sp4136,0,0,0,0,0.000174419,0
sp4137,0,0,0,0,0.000232558,0
sp4138,0,0,0,0,0.000151163,0
sp4139,0,0,0,0,0.00022093,0
sp4140,0,0,0,0,0.000255814,0
sp4141,0,0,0,0,0.000174419,0
sp4142,0,0,0,0,0.000186047,0
sp4143,0,0,0,0,0.00022093,0
sp4144,0,0,0,0,0.000151163,0
sp4145,0,0,0,0,0.000174419,0
sp4146,0,0,0,0,0.000174419,0
sp4147,0,0,0,0,0.000139535,0
sp4148,0,0,0,0,0.000197674,0
sp4149,0,0,0,0,0.000174419,0
sp4150,0,0,0,0,0.000174419,0
sp4151,0,0,0,0,0.000197674,0
sp4152,0,0,0,0,0.000151163,0
sp4153,0,0,0,0,0.000209302,0
sp4154,0,0,0,0,0.000209302,0
sp4155,0,0,0,0,0.000162791,0
sp4156,0,0,0,0,0.000186047,0
sp4157,0,0,0,0,0.000186047,0
sp4158,0,0,0,0,0.000151163,0
sp4159,0,0,0,0,0.000209302,0
sp4160,0,0,0,0,0.000197674,0
sp4161,0,0,0,0,0.000197674,0
sp4162,0,0,0,0,0.000186047,0
sp4163,0,0,0,0,0.00022093,0
sp4164,0,0,0,0,0.000209302,0
sp4165,0,0,0,0,0.000209302,0
sp4166,0,0,0,0,0.000162791,0
sp4167,0,0,0,0,0.000186047,0
sp4168,0,0,0,0,0.000162791,0
sp4169,0,0,0,0,0.000197674,0
sp4170,0,0,0,0,0.000174419,0
sp4171,0,0,0,0,0.000197674,0
sp4172,0,0,0,0,0.000197674,0
sp4173,0,0,0,0,0.000139535,0
sp4174,0,0,0,0,0.000116279,0
sp4175,0,0,0,0,0.000186047,0
sp4176,0,0,0,0,0.000162791,0
sp4177,0,0,0,0,0.000162791,0
sp4178,0,0,0,0,0.000186047,0
sp4179,0,0,0,0,0.000162791,0
sp4180,0,0,0,0,0.000127907,5.81395E-05
sp4181,0,0,0,0,0,0.000209302
sp4182,0,0,0,0,0,0.000116279
sp4183,0,0,0,0,0,0.000116279
sp4184,0,0,0,0,0,0.000209302
sp4185,0,0,0,0,0,0.000209302
sp4186,0,0,0,0,0,0.000209302
sp4187,0,0,0,0,0,0.00022093
sp4188,0,0,0,0,0,0.000197674
sp4189,0.000360465,0,0,0,0,0
sp4190,0.000360465,0,0,0,0,0
sp4191,0.000360465,0,0,0,0,0
sp4192,0.000360465,0,0,0,0,0
sp4193,0.000360465,0,0,0,0,0
sp4194,0.000360465,0,0,0,0,0
sp4195,0.000360465,0,0,0,0,0
sp4196,0,0.000348837,0,0,0,0
sp4197,0,0.000348837,0,0,0,0
sp4198,0,0.000337209,0,0,0,0
sp4199,0,0.000360465,0,0,0,0
sp4200,0,0.00027907,0,0,0,0
sp4201,0,0.000360465,0,0,0,0
sp4202,0,0.000325581,0,0,0,0
sp4203,0,0.000360465,0,0,0,0
sp4204,0,4.65116E-05,0,0,0.000151163,0
sp4205,0,0,0.000325581,0,0,0
sp4206,0,0,0.000302326,0,0,0
sp4207,0,0,0.000313953,0,0,0
sp4208,0,0,0.000337209,0,0,0
sp4209,0,0,0.000325581,0,0,0
sp4210,0,0,0.000313953,0,0,0
sp4211,0,0,0.000337209,0,0,0
sp4212,0,0,0,0.000197674,0,0
sp4213,0,0,0,0.000174419,0,0
sp4214,0,0,0,0.000162791,0,0
sp4215,0,0,0,0.000139535,0,0
sp4216,0,0,0,0.000139535,0,0
sp4217,0,0,0,0.000209302,0,0
sp4218,0,0,0,0.000232558,0,0
sp4219,0,0,0,0.000127907,0,0
sp4220,0,0,0,0.000139535,0,0
sp4221,0,0,0,0.000151163,0,0
sp4222,0,0,0,0.00022093,0,0
sp4223,0,0,0,0.000174419,0,0
sp4224,0,0,0,0.000197674,0,0
sp4225,0,0,0,0.000151163,0,0
sp4226,0,0,0,6.97674E-05,0,0
sp4227,0,0,0,0.000116279,0,0
sp4228,0,0,0,0.000209302,0,0
sp4229,0,0,0,0.000151163,0,0
sp4230,0,0,0,0.000151163,0,0
sp4231,0,0,0,0.000162791,0,0
sp4232,0,0,0,0.000151163,0,0
sp4233,0,0,0,0.000151163,0,0
sp4234,0,0,0,0.000151163,0,0
sp4235,0,0,0,0.000209302,0,0
sp4236,0,0,0,0,0.000186047,0
sp4237,0,0,0,0,0.000197674,0
sp4238,0,0,0,0,0.000174419,0
sp4239,0,0,0,0,0.000151163,0
sp4240,0,0,0,0,0.000186047,0
sp4241,0,0,0,0,0.000209302,0
sp4242,0,0,0,0,0.000116279,0
sp4243,0,0,0,0,0.000151163,0
sp4244,0,0,0,0,0.000174419,0
sp4245,0,0,0,0,0.000151163,0
sp4246,0,0,0,0,0.000151163,0
sp4247,0,0,0,0,0.000174419,0
sp4248,0,0,0,0,0.000186047,0
sp4249,0,0,0,0,0.000197674,0
sp4250,0,0,0,0,0.000162791,0
sp4251,0,0,0,0,0.00022093,0
sp4252,0,0,0,0,0.000197674,0
sp4253,0,0,0,0,0.000151163,0
sp4254,0,0,0,0,0.000197674,0
sp4255,0,0,0,0,0.000232558,0
sp4256,0,0,0,0,0.000139535,0
sp4257,0,0,0,0,0.000197674,0
sp4258,0,0,0,0,0.000162791,0
sp4259,0,0,0,0,0.000197674,0
sp4260,0,0,0,0,0.000197674,0
sp4261,0,0,0,0,0.000186047,0
sp4262,0,0,0,0,0.00022093,0
sp4263,0,0,0,0,0.000127907,0
sp4264,0,0,0,0,0.000197674,0
sp4265,0,0,0,0,0.000151163,0
sp4266,0,0,0,0,0.000232558,0
sp4267,0,0,0,0,0.000186047,0
sp4268,0,0,0,0,0.00022093,0
sp4269,0,0,0,0,0.000197674,0
sp4270,0,0,0,0,0.000209302,0
sp4271,0,0,0,0,0.000151163,0
sp4272,0,0,0,0,0.000174419,0
sp4273,0,0,0,0,0.000151163,0
sp4274,0,0,0,0,0.000197674,0
sp4275,0,0,0,0,0.000127907,0
sp4276,0,0,0,0,0.000197674,0
sp4277,0,0,0,0,0,0.000174419
sp4278,0,0,0,0,0,0.000162791
sp4279,0,0,0,0,0,0.000174419
sp4280,0,0,0,0,0,0.000139535
sp4281,0,0,0,0,0,0.000151163
sp4282,0,0,0,0,0,0.000139535
sp4283,0,0,0,0,0,0.000186047
sp4284,0,0,0,0,0,0.00027907
sp4285,0.000348837,0,0,0,0,0
sp4286,0.000348837,0,0,0,0,0
sp4287,0.000348837,0,0,0,0,0
sp4288,0.000348837,0,0,0,0,0
sp4289,0.000348837,0,0,0,0,0
sp4290,0.000348837,0,0,0,0,0
sp4291,6.97674E-05,0,0,2.32558E-05,5.81395E-05,0
sp4292,0,0.000302326,0,0,0,0
sp4293,0,0.000325581,0,0,0,0
sp4294,0,0,0.000302326,0,0,0
sp4295,0,0,0.000337209,0,0,0
sp4296,0,0,0.00027907,0,0,0
sp4297,0,0,0.000290698,0,0,0
sp4298,0,0,0.000325581,0,0,0
sp4299,0,0,0.000255814,0,0,0
sp4300,0,0,0.000325581,0,0,0
sp4301,0,0,0.000348837,0,0,0
sp4302,0,0,0.000290698,0,0,0
sp4303,0,0,0.000313953,0,0,0
sp4304,0,0,0.00027907,0,0,0
sp4305,0,0,0.000313953,0,0,0
sp4306,0,0,0,0.000197674,0,0
sp4307,0,0,0,0.000151163,0,0
sp4308,0,0,0,0.000209302,0,0
sp4309,0,0,0,0.000209302,0,0
sp4310,0,0,0,0.000174419,0,0
sp4311,0,0,0,0.000151163,0,0
sp4312,0,0,0,0.000197674,0,0
sp4313,0,0,0,0.000186047,0,0
sp4314,0,0,0,0.000174419,0,0
sp4315,0,0,0,0.000162791,0,0
sp4316,0,0,0,0.000104651,0,0
sp4317,0,0,0,0.000162791,0,0
sp4318,0,0,0,0.000232558,0,0
sp4319,0,0,0,0.000174419,0,0
sp4320,0,0,0,0.000139535,0,0
sp4321,0,0,0,0.000174419,0,0
sp4322,0,0,0,0.000162791,0,0
sp4323,0,0,0,0.000162791,0,0
sp4324,0,0,0,0.000209302,0,0
sp4325,0,0,0,8.13953E-05,0,0
sp4326,0,0,0,0.000162791,0,0
sp4327,0,0,0,0.000151163,0,0
sp4328,0,0,0,0.000197674,0,0
sp4329,0,0,0,0.000127907,0,0
sp4330,0,0,0,0.000139535,0,0
sp4331,0,0,0,0.000151163,0,0
sp4332,0,0,0,0.000174419,0,0
sp4333,0,0,0,0.000174419,0,0
sp4334,0,0,0,0,0.000162791,0
sp4335,0,0,0,0,0.000244186,0
sp4336,0,0,0,0,0.000174419,0
sp4337,0,0,0,0,0.000186047,0
sp4338,0,0,0,0,0.000209302,0
sp4339,0,0,0,0,0.00022093,0
sp4340,0,0,0,0,0.00022093,0
sp4341,0,0,0,0,0.000151163,0
sp4342,0,0,0,0,0.000162791,0
sp4343,0,0,0,0,0.000162791,0
sp4344,0,0,0,0,0.000116279,0
sp4345,0,0,0,0,0.000116279,0
sp4346,0,0,0,0,0.000174419,0
sp4347,0,0,0,0,0.000209302,0
sp4348,0,0,0,0,0.000186047,0
sp4349,0,0,0,0,0.000186047,0
sp4350,0,0,0,0,0.000116279,0
sp4351,0,0,0,0,0.000197674,0
sp4352,0,0,0,0,0.000209302,0
sp4353,0,0,0,0,0.000127907,0
sp4354,0,0,0,0,0.00022093,0
sp4355,0,0,0,0,0.000162791,0
sp4356,0,0,0,0,0.000174419,0
sp4357,0,0,0,0,0.000151163,0
sp4358,0,0,0,0,0.000116279,0
sp4359,0,0,0,0,0.000186047,0
sp4360,0,0,0,0,0.000162791,0
sp4361,0,0,0,0,0.00022093,0
sp4362,0,0,0,0,0.000162791,0
sp4363,0,0,0,0,0.000162791,0
sp4364,0,0,0,0,0.00022093,0
sp4365,0,0,0,0,0.000232558,0
sp4366,0,0,0,0,0.000151163,0
sp4367,0,0,0,0,5.81395E-05,0
sp4368,0,0,0,0,0.000116279,0
sp4369,0,0,0,0,0.000174419,0
sp4370,0,0,0,0,0.000209302,0
sp4371,0,0,0,0,0.000127907,0
sp4372,0,0,0,0,0.000186047,0
sp4373,0,0,0,0,0.000162791,0
sp4374,0,0,0,0,0.000209302,0
sp4375,0,0,0,0,0.000209302,0
sp4376,0,0,0,0,0.000174419,0
sp4377,0,0,0,0,0.000151163,0
sp4378,0,0,0,0,0.000127907,0
sp4379,0,0,0,0,0.000174419,0
sp4380,0,0,0,0,0.000162791,0
sp4381,0,0,0,0,0.000174419,0
sp4382,0,0,0,0,0,0.000244186
sp4383,0,0,0,0,0,0.000232558
sp4384,0,0,0,0,0,0.000174419
sp4385,0,0,0,0,0,0.000209302
sp4386,0,0,0,0,0,0.000139535
sp4387,0,0,0,0,0,0.000127907
sp4388,0,0,0,0,0,0.000162791
sp4389,0,0,0,0,0,0.000197674
sp4390,0,0,0,0,0,0.000139535
sp4391,0,0,0,0,0,0.000186047
sp4392,0,0,0,0,0,0.000151163
sp4393,0,0,0,0,0,0.000174419
sp4394,0.000337209,0,0,0,0,0
sp4395,0.000337209,0,0,0,0,0
sp4396,0.000337209,0,0,0,0,0
sp4397,0.000337209,0,0,0,0,0
sp4398,0.000325581,0,0,0,0,0
sp4399,0.000337209,0,0,0,0,0
sp4400,0.000337209,0,0,0,0,0
sp4401,0.000337209,0,0,0,0,0
sp4402,0.000337209,0,0,0,0,0
sp4403,1.16279E-05,1.16279E-05,0.000186047,0,4.65116E-05,0
sp4404,0,0.000337209,0,0,0,0
sp4405,0,0.000325581,0,0,0,0
sp4406,0,0.000313953,0,0,0,0
sp4407,0,0.000325581,0,0,0,0
sp4408,0,0.000325581,0,0,0,0
sp4409,0,0.000313953,0,0,0,0
sp4410,0,0.000337209,0,0,0,0
sp4411,0,0,0.000290698,0,0,0
sp4412,0,0,0.000313953,0,0,0
sp4413,0,0,0.000290698,0,0,0
sp4414,0,0,0.000337209,0,0,0
sp4415,0,0,0.000302326,0,0,0
sp4416,0,0,0.000302326,0,0,0
sp4417,0,0,0.000325581,0,0,0
sp4418,0,0,0.00027907,0,0,0
sp4419,0,0,0.000325581,0,0,0
sp4420,0,0,0.000302326,0,0,0
sp4421,0,0,0.000325581,0,0,0
sp4422,0,0,0.000313953,0,0,0
sp4423,0,0,0.000313953,0,0,0
sp4424,0,0,0.000302326,0,0,0
sp4425,0,0,0.000337209,0,0,0
sp4426,0,0,0.000313953,0,0,0
sp4427,0,0,0.000325581,0,0,0
sp4428,0,0,0.00022093,0,0,6.97674E-05
sp4429,0,0,0,0.000116279,0,0
sp4430,0,0,0,0.000162791,0,0
sp4431,0,0,0,0.000174419,0,0
sp4432,0,0,0,0.000139535,0,0
sp4433,0,0,0,0.000197674,0,0
sp4434,0,0,0,0.00022093,0,0
sp4435,0,0,0,0.000162791,0,0
sp4436,0,0,0,0.000197674,0,0
